City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Dimbokro,CI,2022-07-25 17:19:09,6.6451,-4.7048,81.3,71,100,3.51,overcast clouds
196,Lodeynoye Pole,RU,2022-07-25 17:19:10,60.726,33.5531,67.01,89,35,1.07,scattered clouds
197,Port Elizabeth,ZA,2022-07-25 17:19:10,-33.918,25.5701,59.29,68,0,13.8,clear sky
198,Griffith,US,2022-07-25 17:19:11,41.5284,-87.4237,79.47,64,40,9.22,scattered clouds
199,Waw,SS,2022-07-25 17:19:11,7.7029,27.9953,79.65,67,70,1.19,broken clouds
200,Saint Anthony,US,2022-07-25 17:19:11,45.0205,-93.218,76.66,46,40,4.61,scattered clouds
201,Sungaipenuh,ID,2022-07-25 17:19:12,-2.0833,101.3833,63.32,98,100,1.95,light rain
202,Soyo,AO,2022-07-25 17:19:12,-6.1349,12.3689,72.39,83,28,8.7,scattered clouds
203,Port Blair,IN,2022-07-25 17:19:12,11.6667,92.75,81.72,84,80,7.31,broken clouds
204,Lichinga,MZ,2022-07-25 17:19:13,-13.3128,35.2406,60.12,63,75,3.78,broken clouds
205,Bemidji,US,2022-07-25 17:18:16,47.4736,-94.8803,73.06,44,0,1.01,clear sky
206,Krasnyy Kut,RU,2022-07-25 17:19:13,50.95,46.9667,65.93,72,96,1.68,light rain
207,Iskateley,RU,2022-07-25 17:19:13,67.6803,53.1512,46.92,91,100,18.9,light rain
208,Yeppoon,AU,2022-07-25 17:19:14,-23.1333,150.7333,51.58,90,1,3.85,clear sky
209,La Ronge,CA,2022-07-25 17:15:56,55.1001,-105.2842,68.22,64,75,8.05,broken clouds
210,Poum,NC,2022-07-25 17:19:14,-20.2333,164.0167,72.86,77,4,19.35,clear sky
211,Mpulungu,ZM,2022-07-25 17:19:14,-8.7623,31.1141,76.37,49,39,7.85,scattered clouds
212,Rondonopolis,BR,2022-07-25 17:17:34,-16.4708,-54.6356,96.62,17,0,4.05,clear sky
213,Sorland,NO,2022-07-25 17:19:15,67.667,12.6934,55.26,90,85,10.36,overcast clouds
214,Bay City,US,2022-07-25 17:17:47,43.5945,-83.8889,74.1,57,75,14.97,broken clouds
215,Tarnogskiy Gorodok,RU,2022-07-25 17:19:15,60.4997,43.5761,62.06,98,100,5.97,overcast clouds
216,Kavieng,PG,2022-07-25 17:19:16,-2.5744,150.7967,81.21,81,48,17.36,moderate rain
217,Havre-Saint-Pierre,CA,2022-07-25 17:19:16,50.2334,-63.5986,66.56,94,100,4.61,overcast clouds
218,Fort Morgan,US,2022-07-25 17:19:16,40.2503,-103.8,74.05,73,75,5.75,broken clouds
219,Abha,SA,2022-07-25 17:19:17,18.2164,42.5053,64.22,82,75,9.22,moderate rain
220,Kieta,PG,2022-07-25 17:19:17,-6.2167,155.6333,77.63,87,60,4.52,light rain
221,Visnes,NO,2022-07-25 17:19:17,59.3556,5.2242,57.25,88,75,17.27,broken clouds
222,Sitka,US,2022-07-25 17:19:18,57.0531,-135.33,57.09,88,100,0.0,mist
223,Lowestoft,GB,2022-07-25 17:19:18,52.4752,1.7516,72.41,61,99,13.44,overcast clouds
